Symbol ,Date ,PREV. CLOSE ,Open Price ,High Price ,Low Price ,Close Price ,Total Traded Quantity ,Total Traded Value in Rs.,Number of Trades 
HCLTECH,18-Feb-25,0.7,0.5,0.5,0.5,0.5,"1,050",525,1
HCLTECH,13-Feb-25,1.74,1.74,1.74,1.74,1.74,6,10,2
HCLTECH,12-Feb-25,0.35,0.7,0.7,0.7,0.7,15,11,1
HCLTECH,12-Feb-25,0.5,1.74,1.74,1.74,1.74,13,23,1
HCLTECH,01-Feb-25,3.95,0.5,0.5,0.5,0.5,100,50,1
HCLTECH,27-Jan-25,1.25,3.95,3.95,3.95,3.95,2,8,1
HCLTECH,24-Jan-25,2,1.9,1.9,1.9,1.9,67,127,1
HCLTECH,23-Jan-25,1,1,1,1,1,"3,150","3,150.00",4
HCLTECH,22-Jan-25,9.08,1,1,1,1,"3,000","3,000.00",2
HCLTECH,22-Jan-25,1.5,2,2,2,2,96,192,1
HCLTECH,21-Jan-25,0.7,1.25,1.25,1.25,1.25,170,213,1
HCLTECH,21-Jan-25,0.6,2,3,1,1.5,"10,850","16,613.00",26
HCLTECH,20-Jan-25,1.8,1,1,0.5,0.6,"8,050","7,132.00",19
HCLTECH,14-Jan-25,2,0.5,1.8,0.5,1.8,"4,379","2,227.00",7
HCLTECH,13-Jan-25,2,0.55,2,0.5,2,"3,48,950","2,59,883.00",50
HCLTECH,10-Jan-25,2.98,0.7,0.7,0.7,0.7,30,21,1
HCLTECH,07-Jan-25,2,2,2,2,2,"1,400","2,800.00",1
HCLTECH,31-Dec-24,2,2,2,2,2,500,"1,000.00",1
HCLTECH,30-Dec-24,1.5,1.98,10,1.98,2,"50,187","1,98,075.00",78
HCLTECH,23-Dec-24,0.5,1.5,1.5,1.5,1.5,10,15,1
HCLTECH,18-Dec-24,1,0.99,1.5,0.99,1.5,"17,850","20,212.00",26
HCLTECH,18-Dec-24,1.95,0.5,0.75,0.5,0.5,"64,050","34,498.00",85
HCLTECH,10-Dec-24,0.5,1.95,1.95,1.95,1.95,5,10,1
HCLTECH,04-Dec-24,0.5,1,1,0.5,0.5,65,35,2
HCLTECH,03-Dec-24,0.5,1.98,1.98,0.5,0.5,45,30,2
HCLTECH,28-Nov-24,-,0.5,0.5,0.5,0.5,"1,400",700,3
HCLTECH,25-Nov-24,99.25,0.7,0.75,0.7,0.75,"9,450","6,788.00",13
HCLTECH,18-Nov-24,1.99,1.98,1.98,1.98,1.98,32,63,1
HCLTECH,12-Nov-24,0.95,1.99,1.99,1.99,1.99,21,42,1
HCLTECH,07-Nov-24,0.5,0.5,0.95,0.5,0.95,"3,500","1,795.00",5
HCLTECH,06-Nov-24,0.49,0.5,0.5,0.5,0.5,"4,200","2,100.00",8
HCLTECH,05-Nov-24,1.99,0.5,0.5,0.49,0.49,"1,500",750,5
HCLTECH,29-Oct-24,2,1.99,1.99,1.99,1.99,390,776,1
HCLTECH,28-Oct-24,1.88,1.99,3,1.99,3,"1,400","2,815.00",8
HCLTECH,28-Oct-24,0.7,2,2,2,2,"3,401","6,802.00",5
HCLTECH,23-Oct-24,0.7,0.71,0.71,0.7,0.7,"6,000","4,221.00",7
HCLTECH,17-Oct-24,2.92,1.8,1.98,1.8,1.88,99,187,2
HCLTECH,10-Oct-24,0.5,0.7,0.7,0.7,0.7,15,11,1
HCLTECH,09-Oct-24,2.69,2,2.92,2,2.92,357,900,2
HCLTECH,04-Oct-24,2.96,2.69,2.69,2.69,2.69,44,118,1
HCLTECH,03-Oct-24,1.5,2.96,2.96,2.96,2.96,78,231,1
HCLTECH,28-Sep-24,0.5,13,13,13,13,600,"7,800.00",6
HCLTECH,24-Sep-24,0.55,0.55,1.5,0.55,1.5,"13,850","11,275.00",19
HCLTECH,23-Sep-24,2,2,2,2,2,334,668,3
HCLTECH,19-Sep-24,2.85,2,2,1.95,2,"23,800","47,570.00",56
HCLTECH,11-Sep-24,1,0.55,0.55,0.55,0.55,45,25,1
HCLTECH,06-Sep-24,3.26,2,2.85,2,2.85,"1,750","4,114.00",10
HCLTECH,05-Sep-24,0.61,2.69,3.93,2.69,3.26,"1,400","4,570.00",7
HCLTECH,04-Sep-24,0.5,0.5,1.01,0.5,0.61,"3,88,800","3,36,252.00",105
